0.0,0.045,0.035,0.03,0.01,0.025,0.02,0.035,0.085,0.03,0.035,0.015,0.015,0.005,0.025,0.01,0.015,0.035,0.035,0.015,0.02,0.0,0.03,0.04,0.01,0.025,0.04,0.015,0.05,0.035,0.03,0.02,0.015,0.085,0.015,0.01,0.04
0.0,0.055,0.055,0.01,0.01,0.03,0.01,0.035,0.085,0.05,0.025,0.02,0.015,0.0,0.03,0.005,0.01,0.03,0.03,0.005,0.02,0.005,0.03,0.055,0.015,0.02,0.055,0.025,0.04,0.05,0.02,0.01,0.02,0.07,0.025,0.01,0.02
0.0,0.045,0.055,0.02,0.005,0.025,0.005,0.035,0.09,0.05,0.03,0.015,0.015,0.0,0.02,0.005,0.01,0.03,0.035,0.005,0.02,0.005,0.035,0.06,0.01,0.02,0.04,0.03,0.04,0.045,0.025,0.015,0.015,0.09,0.025,0.01,0.02
0.005,0.045,0.035,0.015,0.0,0.04,0.01,0.04,0.09,0.05,0.03,0.015,0.015,0.0,0.025,0.015,0.01,0.03,0.035,0.01,0.02,0.0,0.04,0.04,0.01,0.035,0.035,0.035,0.03,0.04,0.015,0.025,0.015,0.095,0.02,0.005,0.025
0.0,0.04,0.045,0.04,0.01,0.025,0.02,0.035,0.095,0.025,0.055,0.025,0.005,0.005,0.02,0.01,0.025,0.02,0.02,0.01,0.02,0.0,0.04,0.04,0.01,0.01,0.045,0.015,0.03,0.045,0.015,0.01,0.02,0.09,0.02,0.02,0.04
0.005,0.045,0.04,0.02,0.01,0.04,0.01,0.03,0.085,0.045,0.03,0.015,0.015,0.0,0.025,0.005,0.01,0.03,0.035,0.005,0.02,0.005,0.04,0.045,0.01,0.035,0.035,0.035,0.04,0.045,0.02,0.025,0.015,0.085,0.02,0.005,0.02
0.0,0.05,0.04,0.02,0.005,0.025,0.01,0.035,0.08,0.05,0.03,0.02,0.015,0.005,0.03,0.01,0.01,0.03,0.03,0.005,0.02,0.005,0.035,0.05,0.01,0.02,0.05,0.03,0.035,0.05,0.025,0.015,0.015,0.085,0.025,0.01,0.02
0.005,0.045,0.03,0.015,0.0,0.035,0.005,0.04,0.09,0.05,0.03,0.015,0.015,0.0,0.025,0.015,0.01,0.035,0.03,0.01,0.015,0.0,0.04,0.04,0.015,0.03,0.04,0.035,0.04,0.04,0.02,0.025,0.015,0.105,0.02,0.005,0.015
0.005,0.055,0.025,0.025,0.0,0.025,0.005,0.04,0.085,0.045,0.025,0.04,0.01,0.0,0.02,0.01,0.02,0.04,0.04,0.005,0.02,0.0,0.03,0.06,0.005,0.025,0.04,0.02,0.035,0.04,0.02,0.03,0.02,0.095,0.005,0.01,0.025
0.0,0.055,0.05,0.02,0.01,0.025,0.015,0.04,0.075,0.05,0.025,0.015,0.02,0.0,0.03,0.005,0.01,0.035,0.03,0.005,0.02,0.005,0.035,0.05,0.01,0.02,0.05,0.025,0.04,0.045,0.025,0.015,0.015,0.07,0.025,0.015,0.02
0.0,0.06,0.06,0.015,0.005,0.03,0.015,0.035,0.09,0.055,0.025,0.015,0.015,0.0,0.02,0.0,0.01,0.03,0.035,0.005,0.02,0.005,0.04,0.05,0.01,0.025,0.045,0.035,0.035,0.05,0.02,0.01,0.015,0.07,0.02,0.01,0.02
0.0,0.045,0.06,0.01,0.005,0.03,0.005,0.04,0.085,0.04,0.035,0.015,0.015,0.0,0.03,0.005,0.01,0.025,0.035,0.01,0.02,0.005,0.045,0.055,0.01,0.02,0.04,0.025,0.035,0.055,0.025,0.01,0.015,0.085,0.025,0.01,0.02
0.0,0.045,0.04,0.015,0.0,0.03,0.005,0.04,0.095,0.045,0.035,0.015,0.015,0.0,0.02,0.005,0.01,0.035,0.035,0.005,0.015,0.0,0.035,0.04,0.02,0.035,0.06,0.03,0.03,0.035,0.025,0.02,0.015,0.09,0.025,0.01,0.025
0.005,0.05,0.035,0.015,0.0,0.035,0.01,0.04,0.08,0.04,0.035,0.025,0.015,0.0,0.02,0.01,0.01,0.02,0.035,0.01,0.015,0.0,0.05,0.035,0.02,0.03,0.04,0.035,0.04,0.03,0.015,0.03,0.015,0.1,0.02,0.01,0.025
